DIST_ID,pop_mean_present,pop_mean_near,pop_mean_far,pop_p90_present,pop_p90_near,pop_p90_far,pop_max_present,pop_max_near,pop_max_far,sys_mean_present,sys_mean_near,sys_mean_far,sys_p90_present,sys_p90_near,sys_p90_far,sys_max_present,sys_max_near,sys_max_far,pop_change_mean_near,pop_change_mean_far,pop_change_p90_near,pop_change_p90_far,pop_change_max_near,pop_change_max_far,sys_change_mean_near,sys_change_mean_far,sys_change_p90_near,sys_change_p90_far,sys_change_max_near,sys_change_max_far,haz_present,haz_near,haz_far,exp_pop,exp_sys,vul,district,state,has_data,data_status
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10525608554399463,0.14950619430723167,0.00018114710110239685,,,NICOBARS,Andaman & Nicobar Island,False,No grid / masked
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1807287297125557,0.21191439962660885,0.0012187841814011336,,,NORTH & MIDDLE ANDAMAN,Andaman & Nicobar Island,False,No grid / masked
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1507925540535066,0.17158193984882886,0.00492112644133158,,,SOUTH ANDAMAN,Andaman & Nicobar Island,False,No grid / masked
3,0.002744997721568586,0.0023612373613917203,0.0038403573688092145,0.0046736367177772084,0.004066272821157353,0.00687289303932755,0.007508759756262461,0.006513325921843948,0.010189146851393218,0.05199499430702076,0.04481011800721577,0.07316640786295191,0.06293967251290807,0.057358630705163845,0.08746629287658125,0.07187612337126721,0.0639867815500092,0.10314327993232957,,,,,-13.256967418464821,35.69680189721423,-13.81840001246972,40.718176505449534,-8.867287650090052,38.96845881847115,-10.976304023112927,43.50145096105939,0.35191909888148,0.30186729833963405,0.4941978556816299,0.013579763573310945,0.2552941214779149,0.5833648859761271,ADILABAD,Andhra Pradesh,True,Valid
4,0.0008094971829605402,0.0009088789549973038,0.0017443841688020083,0.0013013639928856013,0.0014120589208474093,0.002789533804917926,0.0025804033302312046,0.00304145263719069,0.005874996537184487,0.011939600355405337,0.013143522118852705,0.025369536759155542,0.015718275693513452,0.016941128775319076,0.03487883812808705,0.01682722337996294,0.019740872012099998,0.04108329982678153,,,,,,,10.083434349645753,112.4822942475638,7.77981698278944,121.8999005245893,17.31508857014696,144.14782462388644,0.0965791473835744,0.1060129588226729,0.20309831864669842,0.017988120169880297,0.2569382729438635,0.48263806927645947,ANANTAPUR,Andhra Pradesh,True,Valid
5,0.0014292524149051298,0.001385655394257049,0.0021647174196753835,0.0024251030534999333,0.0026917582820567645,0.003468539428189492,0.0035448619442285463,0.002988480649817943,0.005020076513345667,0.01049432500751588,0.010390059206261007,0.01629681240025793,0.015428687901212917,0.01379646487553895,0.02004465907225463,0.016099865496528917,0.0164455569256499,0.02098019040589712,,,,,,,-0.9935446174975574,55.291668483550794,-10.579143450984258,29.918105807810335,2.147169671669083,30.312830317870592,0.09090653375484398,0.09035637066438132,0.14287768639264845,0.02797027641818637,0.20987961334841593,0.5456182066885344,CHITTOOR,Andhra Pradesh,True,Valid
6,0.005964732204371515,0.006921300516764574,0.010375062031179955,0.013121543279017475,0.016304984730036227,0.024085184434739643,0.021248285858446122,0.02309089412025942,0.03582295687081421,0.033956414973843635,0.04023047775698755,0.060199548843403186,0.06353301070895888,0.07477231512046348,0.1130224520758575,0.07328477088089701,0.07963987760290864,0.12355242225387963,16.037070561055465,73.94011458848291,24.261181656195586,83.55450972946157,8.671797217378213,68.59222014172359,18.476811489012537,77.28476015437565,17.69049551734801,77.89563380461685,8.671797217378218,68.5922201417236,0.21997628443586256,0.26876169640476416,0.39263241154636463,0.03345961380910012,0.19024646482788599,0.8115215723407831,EAST GODAVARI,Andhra Pradesh,True,Valid
7,0.004764496586637326,0.0057320900802620475,0.00977811187556647,0.011046506165861116,0.012565055994595795,0.022723446356277703,0.014328817845494207,0.01839054390187329,0.02824299755499668,0.039987818856982354,0.048397261117254176,0.08437817529967753,0.05955457733098823,0.07048309847331448,0.11882456277966333,0.06479999508652469,0.0774618325327672,0.1212749266510826,,,13.746878931075148,105.707089781055,28.346553778379707,97.10626417013097,21.030009889632755,111.00969673154376,18.350430197142508,99.52213264694763,19.539874083841667,87.1526787759001,0.1788572891189807,0.21481679838235976,0.3745117940640276,0.03676252116371567,0.32990427085986507,0.6761752049200757,GUNTUR,Andhra Pradesh,True,Valid
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HYDERABAD,Andhra Pradesh,False,No grid / masked
9,0.00602735599504735,0.005521068722441627,0.0092938134308328,0.011563164041949323,0.009664365588780982,0.0162159430839578,0.01706197487863754,0.0144891017098835,0.024655375410784157,0.05504031821434809,0.051021746547704146,0.08597766158633438,0.06893103852563538,0.060250187958646444,0.10039730333042113,0.07186196673124305,0.06203975383382556,0.10649261225344513,-8.399823621198694,54.19386939264052,-16.42109760165818,40.237940282857984,-15.079574240701799,44.50481603776092,-7.301141775732635,56.208511098181546,-12.593529348553975,45.648905743794174,-13.668165991269953,48.19050618488833,0.303622581544559,0.27679853111460656,0.46867073768565704,0.03446176570529739,0.3242743992143207,0.5660619292857892,KARIMNAGAR,Andhra Pradesh,True,Valid
